# [C2r_Br1o] Distance / pm; [C2r_H1r]-[C2r_Br1o] Angle / Degree; Occurrence
725.0000000;  4.500000000;  99.40973172
735.0000000;  4.500000000;  104.2903641
745.0000000;  4.500000000;  99.21680284
755.0000000;  4.500000000;  110.8052974
765.0000000;  4.500000000;  98.93286787
775.0000000;  4.500000000;  104.7616537
785.0000000;  4.500000000;  111.2253521
795.0000000;  4.500000000;  112.9168620
805.0000000;  4.500000000;  111.8606820
815.0000000;  4.500000000;  121.4138293
825.0000000;  4.500000000;  119.1240852
835.0000000;  4.500000000;  121.9266190
845.0000000;  4.500000000;  129.0438632
855.0000000;  4.500000000;  132.0172888
865.0000000;  4.500000000;  136.0226653
875.0000000;  4.500000000;  131.6436253
885.0000000;  4.500000000;  131.5430425
895.0000000;  4.500000000;  128.5602413
905.0000000;  4.500000000;  129.0944444
915.0000000;  4.500000000;  118.4303472
925.0000000;  4.500000000;  126.8884973
935.0000000;  4.500000000;  111.7707859
945.0000000;  4.500000000;  115.3131282
955.0000000;  4.500000000;  117.2532472
965.0000000;  4.500000000;  111.7270015
975.0000000;  4.500000000;  106.5295383
985.0000000;  4.500000000;  97.85263155
995.0000000;  4.500000000;  108.6586901
5.000000000;  6.300000000;  0.000000000
15.00000000;  6.300000000;  0.000000000
25.00000000;  6.300000000;  0.000000000
35.00000000;  6.300000000;  0.000000000
45.00000000;  6.300000000;  0.000000000
55.00000000;  6.300000000;  0.000000000
65.00000000;  6.300000000;  0.000000000
75.00000000;  6.300000000;  0.000000000
85.00000000;  6.300000000;  0.000000000
95.00000000;  6.300000000;  0.000000000
105.0000000;  6.300000000;  0.000000000
115.0000000;  6.300000000;  0.000000000
125.0000000;  6.300000000;  0.000000000
135.0000000;  6.300000000;  0.000000000
145.0000000;  6.300000000;  0.000000000
155.0000000;  6.300000000;  0.000000000
165.0000000;  6.300000000;  0.000000000
175.0000000;  6.300000000;  0.000000000
185.0000000;  6.300000000;  0.000000000
195.0000000;  6.300000000;  0.000000000
205.0000000;  6.300000000;  0.000000000
215.0000000;  6.300000000;  0.000000000
225.0000000;  6.300000000;  0.000000000
235.0000000;  6.300000000;  0.000000000
245.0000000;  6.300000000;  0.000000000
255.0000000;  6.300000000;  0.000000000
265.0000000;  6.300000000;  0.000000000
275.0000000;  6.300000000;  0.000000000
285.0000000;  6.300000000;  0.000000000
295.0000000;  6.300000000;  0.000000000
305.0000000;  6.300000000;  0.000000000
315.0000000;  6.300000000;  0.000000000
325.0000000;  6.300000000;  0.000000000
335.0000000;  6.300000000;  0.000000000
345.0000000;  6.300000000;  0.1459960436
355.0000000;  6.300000000;  2.002140519
365.0000000;  6.300000000;  39.40905519
375.0000000;  6.300000000;  267.1388115
385.0000000;  6.300000000;  895.9808987
395.0000000;  6.300000000;  1511.950407
405.0000000;  6.300000000;  1842.786149
415.0000000;  6.300000000;  1752.631458
425.0000000;  6.300000000;  1450.023584
435.0000000;  6.300000000;  1132.190509
445.0000000;  6.300000000;  881.1237303
455.0000000;  6.300000000;  676.0191211
465.0000000;  6.300000000;  537.6687320
475.0000000;  6.300000000;  418.3339439
485.0000000;  6.300000000;  328.1929745
495.0000000;  6.300000000;  240.3191236
505.0000000;  6.300000000;  235.9255699
515.0000000;  6.300000000;  206.2017310
525.0000000;  6.300000000;  185.0886296
535.0000000;  6.300000000;  139.2081915
545.0000000;  6.300000000;  131.5510928
555.0000000;  6.300000000;  122.1449237
565.0000000;  6.300000000;  113.0503959
575.0000000;  6.300000000;  107.8808341
585.0000000;  6.300000000;  99.17381830
595.0000000;  6.300000000;  104.6532691
605.0000000;  6.300000000;  104.9849634
615.0000000;  6.300000000;  96.43493445
625.0000000;  6.300000000;  97.37365298
635.0000000;  6.300000000;  97.26334099
645.0000000;  6.300000000;  93.10415001
655.0000000;  6.300000000;  91.02085550
665.0000000;  6.300000000;  90.67422736
675.0000000;  6.300000000;  90.38525961
685.0000000;  6.300000000;  87.53884001
695.0000000;  6.300000000;  89.62426372
705.0000000;  6.300000000;  93.84942433
715.0000000;  6.300000000;  89.34788568
725.0000000;  6.300000000;  109.1785784
735.0000000;  6.300000000;  108.7303323
745.0000000;  6.300000000;  104.4318469
755.0000000;  6.300000000;  109.6704454
765.0000000;  6.300000000;  101.1015752
775.0000000;  6.300000000;  116.2031850
785.0000000;  6.300000000;  122.0249666
795.0000000;  6.300000000;  118.0585753
805.0000000;  6.300000000;  119.0702725
815.0000000;  6.300000000;  119.0971771
825.0000000;  6.300000000;  116.5494793
835.0000000;  6.300000000;  122.2413126
